,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,profitBuy,profitSell
2017-10-24,67.76000213623047,68.55999755859375,67.23200225830078,67.46800231933594,67.46800231933594,22458500,TSLA,66.90914,65.16799926757812,0.0,0.5588607788085938
2017-10-27,63.95000076293945,64.91799926757812,63.332000732421875,64.17400360107422,64.17400360107422,34898500,TSLA,63.268547,64.01599884033203,0.0,0.90545654296875
2017-11-01,66.44999694824219,66.52200317382812,64.052001953125,64.21600341796875,64.21600341796875,42286500,TSLA,64.87979,59.85200119018555,0.0,-0.663787841796875
2017-11-02,60.0260009765625,61.737998962402344,58.5260009765625,59.85200119018555,59.85200119018555,98957000,TSLA,60.856796,61.21799850463867,1.0047950744628906,0.0
2017-11-10,60.5,61.672000885009766,60.369998931884766,60.597999572753906,60.597999572753906,23127000,TSLA,60.25738,63.08000183105469,-0.3406181335449219,0.0
2017-11-24,62.757999420166016,63.28200149536133,62.20000076293945,63.11000061035156,63.11000061035156,16220500,TSLA,62.801212,63.36199951171874,-0.3087882995605469,0.0
2017-11-29,63.459999084472656,63.599998474121094,60.24599838256836,61.507999420166016,61.507999420166016,43837000,TSLA,61.87279,61.77000045776367,0.3647918701171875,0.0
2017-12-12,66.08999633789062,68.28800201416016,66.00599670410156,68.20600128173828,68.20600128173828,43666000,TSLA,66.88214,67.80599975585938,0.0,1.3238601684570312
2017-12-15,68.40799713134766,68.77999877929688,67.1520004272461,68.69000244140625,68.69000244140625,34666000,TSLA,68.85701,67.77400207519531,0.0,-0.1670074462890625
2017-12-18,68.9800033569336,69.34600067138672,67.51599884033203,67.77400207519531,67.77400207519531,27381000,TSLA,68.45619,66.22000122070312,0.0,-0.68218994140625
2017-12-22,65.9020004272461,66.18399810791016,64.96399688720703,65.04000091552734,65.04000091552734,21079000,TSLA,64.74323,63.45800018310546,0.0,0.2967681884765625
2017-12-28,62.349998474121094,63.16400146484375,61.90800094604492,63.071998596191406,63.071998596191406,21581500,TSLA,61.340477,62.27000045776367,0.0,1.7315216064453125
2018-01-02,62.400001525878906,64.4219970703125,62.20000076293945,64.10600280761719,64.10600280761719,21761000,TSLA,62.39682,63.45000076293945,0.0,1.7091827392578125
2018-01-09,67.03199768066406,67.76000213623047,65.4800033569336,66.73799896240234,66.73799896240234,35733000,TSLA,66.72073,66.95999908447266,-0.01726531982421875,0.0
